"Veg_Type","Phen_Metric","Drought_Index","Drought_Metric","Slope","Error","Adjusted_R2","F_Statistic","P_Value","significant"
"EN","Peak_GCC","SPEI","Mean_SPEI_12month",0.00146868299813555,0.00178963474066183,-0.00140332245364228,0.673484075429793,0.412681951802873,NA
"GR","Peak_GCC","SPEI","Mean_SPEI_12month",0.00371108317564724,0.00220502072291984,0.00625797881856205,2.83253983165218,0.093448366075375,NA
"SH","Peak_GCC","SPEI","Mean_SPEI_12month",0.00108133498758925,0.00384120788258306,-0.00844113474167774,0.0792473753835919,0.778853679646314,NA
"AG","Peak_GCC","SPEI","Mean_May_Sept_SPEI_12month",0.00400954234534995,0.00233952222600745,0.00842495976704061,2.93721175800671,0.0879251086490306,NA
"DB","Peak_GCC","SPEI","Mean_May_Sept_SPEI_12month",0.00172562917602328,0.00141317621350627,0.00122011322283111,1.49108469450741,0.222765701907876,NA
"EN","Peak_GCC","SPEI","Mean_May_Sept_SPEI_12month",0.00137669544513562,0.0016514038101092,-0.00131083618396421,0.694975006934293,0.405334806042605,NA
"GR","Peak_GCC","SPEI","Mean_May_Sept_SPEI_12month",0.00317749790221915,0.00201231162666238,0.0051055241778758,2.49333177725621,0.115419566384876,NA
"SH","Peak_GCC","SPEI","Mean_May_Sept_SPEI_12month",-0.000204490654253638,0.00337173546090396,-0.00914025817404829,0.00367823897486984,0.951750219168131,NA
"AG","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_12month",0.00335053787566911,0.00226344143890368,0.00519759379249307,2.19124298181606,0.140183818208387,NA
"DB","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_12month",0.0022277093220596,0.00130693551628619,0.0047174872859268,2.90541867732723,0.0890569087746621,NA
"EN","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_12month",0.00157128382850259,0.00153859907679076,0.000184247814923544,1.04293765204577,0.308202962132562,NA
"GR","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_12month",0.00246482979364208,0.0019080339889994,0.0022929771659802,1.66878987521293,0.197449256980246,NA
"SH","Peak_GCC","SPEI","Mean_Oct_Feb_SPEI_12month",0.000461613436735789,0.0034024725852904,-0.00900392590110122,0.0184063473919231,0.892332406161999,NA
"AG","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_12month",0.00463046304039464,0.00242428755679825,0.0114816248852133,3.64821630000014,0.0573896861714291,NA
"DB","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_12month",0.00313788798769124,0.00140317319544376,0.00985452800649111,5.00094770986885,0.0258827610137585,"yes"
"EN","Peak_GCC","SPEI","Prev_Year_Mean_May_Sept_SPEI_12month",0.00206756378110746,0.00163416430889921,0.00257174081889078,1.60076061138827,0.207064728476969,NA
